NAME                                              	CHART VERSION	APP VERSION	DESCRIPTION                                       
prometheus-community/kube-prometheus-stack        	51.2.0       	v0.68.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	51.1.1       	v0.68.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	51.1.0       	v0.68.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	51.0.3       	v0.68.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	51.0.2       	v0.68.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	51.0.1       	v0.68.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	51.0.0       	v0.68.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	50.3.1       	v0.67.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	50.3.0       	v0.67.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	50.2.0       	v0.67.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	50.1.0       	v0.67.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	50.0.0       	v0.67.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	49.2.0       	v0.67.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	49.1.0       	v0.67.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	49.0.0       	v0.67.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.6.0       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.5.0       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.4.0       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.3.6       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.3.5       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.3.4       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
